feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128
0.0,1.216909,0.0,0.0,0.0,2.7660258,3.400335,0.0,0.0,0.8768846,1.2661474,0.0,0.0,0.0,1.7319257,0.0,0.84468406,0.0,0.0,0.0,3.5391953,0.0,0.0,0.0,0.0,0.0,1.4685438,0.0,0.0,0.0,0.0,0.0,2.3916538,1.6658584,0.0,0.0,0.55984515,0.0,2.5070934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0023162,0.0,2.1945233,0.0,0.0,0.0,3.1008127,2.055395,0.0,0.0,1.6296167,2.0399063,0.0,0.0,2.0788047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22543554,0.0,0.0,0.0,0.0,0.0,0.0,1.9072157,0.0,0.0,0.0,2.1904724,0.0,0.0,0.0,2.11686,0.0,1.8582516,0.0,2.0803213,0.0,0.7571674,0.0,0.0,0.0,0.0,1.4254873,0.0,0.0,1.5671982,0.0,0.0,6.105654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8763309,0.0,2.6229649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182038,0.0
0.0,1.71683,1.6790358,0.0,0.0,1.7906705,0.77741545,0.0,0.0,0.0,1.2994665,0.0,0.0,0.0,2.5672896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857339,0.0,0.0,0.0,0.0,0.0,0.0,1.9284285,0.0,0.0,0.0,0.0,1.9742029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4807446,0.0,2.7129989,0.0,0.0,0.0,2.3562975,2.8283117,0.0,0.0,1.6348529,2.5231457,0.0,0.0,2.899996,0.0,1.9294941,0.0,0.0,0.0,0.0,1.7051661,0.0,0.0,0.0,0.0,0.0,0.0,3.9831972,1.8357373,0.0,0.0,2.7013412,1.6412908,1.4676433,1.2570233,0.0,1.8244977,0.0,1.7616361,0.0,2.984539,0.0,3.538878,0.0,0.0,0.0,0.0,2.1174989,0.0,0.0,0.4194681,0.0,0.0,3.181827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9644468,0.44146943,1.6928502,0.0,0.0,0.0,0.0,1.004298,0.0,0.0,0.0,0.0,0.0,0.0,1.8616678,0.0,2.9958453,0.0
0.0,3.263425,0.0,0.0,0.0,0.4882759,0.9249063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39448482,0.0,3.176756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20735465,0.0,0.0,2.7071369,0.0,0.89556956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4573715,0.0,3.693898,0.0,0.0,0.0,0.7186227,0.4581784,0.0,0.0,0.15847862,3.5957017,0.0,0.0,3.7323856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14675856,0.0,0.0,0.0,0.0,0.0,0.0,0.14310618,0.0,0.41785768,0.0,0.2612581,0.0,3.8193405,0.0,3.9151113,0.0,0.0,0.0,0.0,3.428563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8402554,0.0,0.0,0.0,0.0,0.0,0.0,3.7254066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.4639285,0.0,0.0,0.0,0.010717971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49814424,0.0,5.236813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15731704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9843519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9079885,0.0,4.0653024,0.0,0.0,0.0,1.8115864,0.3255598,0.0,0.0,0.0,4.0161686,0.0,0.0,3.7897801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14012352,0.0,0.0,0.0,0.0,0.0,2.4575703,0.7062869,0.0,0.0,0.13781583,1.1083468,0.0,1.256115,0.0,0.01435801,0.0,0.24070759,0.0,4.129025,0.0,0.0,0.0,0.0,0.0,0.0,3.0942135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29745,0.0,0.0,0.0,0.0,0.0,0.0,3.775225,9.35581,0.0,0.0,0.0,0.0,0.0,1.7924297,0.0,0.0,0.0,0.0,0.0,0.0,1.3968519,0.0,0.25915566,0.0
0.0,4.9098067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7993655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5053282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1722627,0.0,5.3759065,0.0,0.0,0.0,0.91525126,0.0,0.0,0.0,0.0,5.2811,0.0,0.0,5.286362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8990159,0.0,0.0,0.0,0.0,0.4959715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.579557,0.0,6.397104,0.0,0.0,0.0,0.0,4.64314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3071933,0.0,0.0,0.0,0.0,0.0,0.0,5.088461,2.1405697,0.0,0.0,0.0,0.0,0.0,0.68623495,0.0,0.0,0.0,0.0,0.0,0.0,0.103439555,0.0,0.0,0.0
0.0,1.6832615,3.053845,0.0,0.0,3.7602646,4.263194,0.0,0.0,0.0,3.9082782,0.0,0.0,0.0,3.513118,0.0,0.4979469,0.0,0.0,0.0,4.1335745,0.0,0.0,0.0,0.0,0.0,1.6795061,0.0,0.0,0.0,0.0,0.0,1.2267395,3.2146573,0.0,0.0,0.19378777,0.0,3.1101775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2593493,0.0,2.285757,0.0,0.0,0.0,3.1335528,2.897282,0.0,0.0,2.9681094,2.3711042,0.0,0.0,2.289635,0.0,2.9283178,0.0,0.0,0.0,0.0,3.164165,0.76402014,0.0,0.0,0.0,0.0,0.0,6.861498,2.1788456,0.0,0.0,0.0,3.224272,2.2045753,1.0014186,0.0,3.315089,0.0,3.00056,0.0,2.4220903,0.0,8.108885,0.0,0.0,0.0,0.0,2.1043077,0.0,0.0,2.8155081,0.0,0.0,2.906752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3936915,0.0,2.7328057,0.0,0.0,0.20534307,0.0,2.3247912,0.0,0.0,0.0,0.0,0.0,0.0,3.0585363,0.0,5.450002,0.0
0.0,4.372005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4312205,0.0,3.3002634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.752957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0984244,0.0,5.4034767,0.0,0.0,0.0,1.7946916,0.4535744,0.0,0.0,0.0,5.135654,0.0,0.0,5.1633987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.683214,0.44219604,0.0,0.0,0.0,0.0,0.0,1.3991607,0.0,0.0,0.0,0.0,0.0,5.8159666,0.0,0.0,0.0,0.0,0.0,0.0,4.4406066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.864387,0.0,0.0,0.0,0.0,0.0,0.0,5.107526,7.4219494,0.0,0.0,0.0,0.0,0.0,4.412536,0.0,0.0,0.0,0.0,0.0,0.0,2.6079245,0.0,1.0223161,0.0
0.0,4.212649,0.31625906,0.0,0.0,2.3851244,1.4787722,0.0,0.0,0.0,3.1299114,0.0,0.0,0.0,0.0,0.0,5.7322235,0.0,0.0,0.0,1.6857458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005642,0.19389828,0.0,0.0,3.0542278,0.0,1.7406125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9282126,0.0,5.365949,0.0,0.0,0.0,2.100979,0.0,0.0,0.0,0.019470073,5.2350736,0.0,0.0,5.360032,0.0,0.3546913,0.0,0.0,0.0,0.0,0.8839046,0.48253107,0.0,0.0,0.0,0.0,0.0,2.116032,0.047157515,0.0,0.0,0.0,1.6676989,0.0,0.0,0.0,1.3471972,0.0,0.17220631,0.0,5.284586,0.0,5.0914536,0.0,0.0,0.0,0.0,4.5107794,0.0,0.0,0.6583297,0.0,0.0,4.2756233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2593827,4.023632,1.8772154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1817904,0.0
0.0,1.1436371,1.3864272,0.0,0.0,1.0384418,1.6976233,0.0,0.0,0.0,1.075317,0.0,0.0,0.0,1.3166138,0.0,0.0,0.0,0.0,0.0,0.9373256,0.0,0.0,0.0,0.0,0.0,1.003484,0.0,0.0,0.0,0.0,0.0,0.06875788,1.5730197,0.0,0.0,0.19584228,0.0,1.3158276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5620819,0.0,1.7514416,0.0,0.0,0.0,1.6526802,1.173017,0.0,0.0,1.506876,1.5434037,0.0,0.0,1.6291857,0.0,1.566736,0.0,0.0,0.0,0.0,1.7163818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84493685,0.0,0.0,0.0,0.22822247,1.34357,0.8952099,0.0,1.517057,0.0,1.4726114,0.0,1.7023642,0.0,0.0,0.0,0.0,0.0,0.0,1.398511,0.0,0.0,1.3461791,0.0,0.0,0.035224102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6557901,0.0,1.5685306,0.0,0.0,0.0,0.0,0.33644179,0.0,0.0,0.0,0.0,0.0,0.0,0.5799667,0.0,0.82924336,0.0
0.0,2.8471313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224403,0.0,4.677898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25691998,0.0,0.0,0.0,0.0,0.0,0.0,0.12761404,0.0,0.0,2.2787273,0.0,0.05574368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29256,0.0,3.3053012,0.0,0.0,0.0,1.2246547,0.37395743,0.0,0.0,0.38290522,3.2675874,0.0,0.0,3.2387218,0.0,0.24869417,0.0,0.0,0.0,0.0,0.039069064,0.0,0.0,0.0,0.0,0.0,0.0,1.5437635,0.43964413,0.0,0.0,0.0,0.7446499,0.02913969,0.692213,0.0,0.09310557,0.0,0.44095287,0.0,3.3163726,0.0,1.2015327,0.0,0.0,0.0,0.0,2.682523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.815453,0.0,0.0,0.0,0.0,0.0,0.0,3.1266327,6.2894464,0.08754637,0.0,0.0,0.0,0.0,0.49435908,0.0,0.0,0.0,0.0,0.0,0.0,0.6101202,0.0,0.0,0.0
